title,overview,query,retriever
Shame,"On their way back home from a baseball academy’s tryouts, Pedro and Lucio are taken hostage and turned over to a criminal group. The teenage friends are forced to fight each other to death; Pedro defeats Lucio and manages to escape. Pedro receives help and refuge with Lucio’s family and he witnesses the family’s collapse and pain. Pedro is tormented with guilt and fear, he cannot tell his friend’s family the truth.",What are some titles of movies about baseball?,theme_group
Liberty,"Liberty, a thriller, tells the story of Matt Robinson, a young Animal Park Guide who feels a deep connection with nature and the local wildlife where he lives. He takes tourists on day excursions to discover the beauty of the land around them and the animals who live freely on it. But our young hero is also an idealist, an activist for animal rights, in conflict with man, who locks up and imprisons animals for commercial and entertainment purposes. His deep love for animals and dedication to helping free those in captivity leads him to make impulsive and illegal actions.",What are some movie titles about freedom?,movie
Naked Nations – Tribe Hong Kong,"Naked Nations is a deeply human, joyful, poignant and heartbreaking film about freedom and its many manifestations, fragility and limits, a film about life, depression and difficult decisions. But above all, a film about love.",What are some movie titles about freedom?,movie
American Outlaws,Facing the possibility of prison - and in search of an idealized freedom - 3 siblings take matters in to their own hands with a cross country crime spree of epic proportions.,What are some movie titles about freedom?,movie
FOUR DAYS FOR FREEDOM: NAPLES 1943,Documentary with rich archive of films and photos along with footage from the 1962 film Le quattro giornate di Napoli depicting the uprising in Naples against Nazi occupation during World War II.,What are some movie titles about freedom?,movie
If Everyone Just Leaves,Diverse questions and expanded perspectives in a film that lands right among the most burning political issues of recent years.,What are some movie titles about freedom?,movie
Trailer of a Film That Will Never Exist: Phony Wars,"Rejecting the billions of alphabetic diktats to liberate the incessant metamorphoses and metaphors of a necessary and true language by re-turning to the locations of past film shoots, while keeping track of modern times.",What are some movie titles about freedom?,movie
Love of the Soviet Union,"The film is about a generation of brave and beautiful people who did not see the destruction of the revolution and the chaos of the civil war, who dreamed of building a new life in which there would be no place for death, but only incredible love that opens the way for them to great achievements and discoveries. About exploits and glory, betrayal and loyalty of those who were heroes in heaven and on earth. About the time of immense trials that fell on their short but bright lives. About a woman who was the dream and true love of the Soviet Union.",What are some movie titles about freedom?,movie
Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",What are some movie titles about freedom?,movie
Silent Cries,"A deaf boy, an abusive father, and a friendship with a kid in town lead to a dangerous quest for freedom.",What are some movie titles about freedom?,movie
Fly Free,"Eighty year old Mary blows her life savings on a sports car but can she convince her controlling daughter, Fiona, to fly free...?",What are some movie titles about freedom?,movie
My Sister's Keeper,"Four ultra-orthodox women who dared to yell “we won’t be silenced!”.Through their revolution, we manage to make our way inside a closed off community with a very clear code of silence in regards to sexuality in general, and sexual assault in particular. Following these events, the worlds of each of these women has been overturned, whether because she herself has been a victim of sexual assault or a woman in one of their close circles.",What are some movie titles about freedom?,movie
Exile,Almost a detective story of the film's author's escape from Russia.,What are some movie titles about freedom?,movie
Letters To Freedom,"Julie, a southern white girl, falls in love with a former slave of her father's in the middle of the American Civil War and is faced with the challenge of her life.",What are some movie titles about freedom?,movie
Infinity!,A Japanese-American dance duo must choose between their passion or their lives as WWII concentration camps begin to rise in the U.S.,What are some movie titles about freedom?,movie
Waterbird,"Exploring love's complexities, an experimental film captures a woman's brief yet significant journey, prompting her to break free and embrace newfound liberation",What are some movie titles about freedom?,movie
Landless,"The initial segment of the film, shot in the 'Freedom Cry' downloadable content (DLC) of Assassin's Creed IV, explores the use of religion as propaganda, focusing specifically on the enslaved Non-Player Characters (NPCs) within the game's universe. It engages in a discussion regarding society's evolving relationship with imagery, delving into mass media and emerging artificial intelligence, while also providing illustrations of the diverse manifestations of contemporary propaganda.",What are some movie titles about freedom?,movie
FREEDOM MAN: THE BALLAD OF THE BRICK,FREEDOM MAN™ and his sidekick Willy Wigger are looking for the missing brick in G2,What are some movie titles about freedom?,theme
1521: The Quest for Love and Freedom,"In pre-Spanish era Philippines, a young native princess with goddess-like beauty falls in love with a dashing Spanish soldier. Against all odds, and pulled apart by their loyalties to their own people, they fight for their clandestine romance.",What are some movie titles about freedom?,theme
It's A Gray Gray World!,"In a completely gray world, the colorful identity of a conservative young man is accidentally revealed by a playful boy. People are terrified of this, calling the police to arrest the young man. But the young man managed to escape, returning the next day to defend his right to freedom.",What are some movie titles about freedom?,theme
Yesterday,"A documentary about the rock pioneers and legendary rock bands of the 1960s-1970s in Lithuania, an era that brought with it the extraordinary power of youth, the hunger for new ideas, the infinite thirst for freedom and the love of music.",What are some movie titles about freedom?,theme
Sedin Kuyasha Chilo,The first story is set in the 1940s where a freedom fighter ends up taking refuge at a woman's place after being chased by the cops. The second story is about three childhood friends who have lost touch and reunite after many years. The third story is about a young village boy who comes to the city to pursue his dream and doesn't care for his old parents.,What are some movie titles about freedom?,theme
Shyamchi Aai,An adaptation of social worker and freedom fighter Sane Guruji's autobiographical novel Shyamchi Aai.,What are some movie titles about freedom?,theme
Sabittri,"The story-line revolves around Sabitri, a valiant female freedom fighter, focusing on the struggles of tea laborers during the tumultuous period of 1971. Sabitri's life was marked by uncertainties during the war, and as the newly independent country initiated trials for war criminals, she took on the role of a witness, tirelessly fighting to protect Sabitri and her war-born child Mongol from the clutches of adversity.",What are some movie titles about freedom?,theme
The Ticket,"Basketball players on the court, businessmen in their spare time and carriers of the spirit of freedom in Lithuania - that's the ""Žalgiris"" Kaunas team of 1979-1989. Historic battles against the Red Army, which cannot be forgotten by those who watched them and which the new generation of basketball fans must learn about.",What are some movie titles about freedom?,theme
Breaking the Ice,"Mira lives for the sport of ice hockey and leads her team as captain with a strong determination. It's a challenge to reconcile this with her role in the family vineyard: with her mother and her adventurous but increasingly demented grandfather, she runs the farm - with all its responsibilities. The new player Theresa completely unsettles her with her nonchalance and openness. And when Mira's missing brother Paul also turns up and all three get lost in late-night Vienna, Mira discovers the freedom it means to break rules, to reinvent herself - and that you can only love if you let go.",What are some movie titles about freedom?,theme
The History of Indian Elections,"Freedom, elections and democracy are at the very core of India's constitution. Learn about the intricacies of the world's largest democracy manages to hold free and fair elections. On National Geographic.",What are some movie titles about freedom?,theme
4 Walls,"Nathi & Karabo share a closeness that ends outside the room's four walls. Through an exploratory journey of identity, freedom, and desire, we get to know the characters and the complexities of living as a black queer South African man today. 4 Walls is an attempt to portray a particularly common experience shared by many in the South African LGBTQI+ community.",What are some movie titles about freedom?,theme
Notes on a Summer,"Writer and filmmaker Llorente’s homeland becomes the focus of a simmering drama played out amongst the beaches, squares and lush green mountains of this north-western province of Spain. The action follows Marta as she swaps her busy life in Madrid with boyfriend Leo for a trip back to her hometown for the summer. With naturalistic settings, minimal dialogue and lingering shots, the director highlights the contrast between real life and the carefree pace of the holidays. As the summer progresses, a relationship from her past causes confusion and she’s forced to choose between the innocence and freedom of her youth and the grown-up world with all its routines and responsibilities.",What are some movie titles about freedom?,theme
The Prince of Egypt: The Musical,"A live stage recording of the musical based on DreamWorks Animation's 1998 film adapted from the biblical story of Moses, from his being a prince of Egypt to his ultimate destiny of leading the Children of Israel out of Egypt.",What are some movie titles about freedom?,theme
Decisions Decisions,"In one debaucherous, life-changing conversation Vida grapples with the decision to have a baby with the love of her life, Benny, or give up everything she knows for uncertain freedom in a camper van.",What are some movie titles about freedom?,theme
Hunting Party,"In a dystopian future, a group of murderers facing the death penalty participate in a game show where they must survive being hunted down by famed TV personality and sport hunter Tad Nightingale, in order to gain freedom from the system.",What are some movie titles about freedom?,theme
Two Balloons,Two balloons fight restlessly to break free.,What are some movie titles about freedom?,theme
1989: Chceme dýchat,"During the so-called normalization period, Teplice, once a beautiful spa town nicknamed ""Little Paris,"" is devastated, much like the entire northwestern industrial border region. It is often shrouded in dense smog, making visibility limited to just a few meters. Teplice is also a stronghold of a specific punk subculture and a city of exceptional alternative culture. The story of Pavel and Renata primarily unfolds in Teplice. They aspire to live freely, in accordance with their ideals. However, their lives are consistently disrupted by the repressive communist regime.",What are some movie titles about freedom?,theme
Sorbeltza,"A yacht sets sail with three people on board. Two women and a man form a triangle as strange as it is mysterious. Swimming in the high seas, nighttime conversations and sexual tensions. A feverish sleeplessness and the need for freedom will mark the direction of their navigation.",What are some movie titles about freedom?,theme
Bad Romance: The Vicky White Story,"Every day for divorced (Wendi McLendon-Covey) is like the movie Groundhog Day – mundane and every day just like the previous. But when new prisoner Casey White (Rossif Sutherland) is brought to her facility, the two develop a secret infatuation. Vicky gives Casey special attention, believing he’s the only man to see her the way she wants to be seen. But when Casey’s inevitable transfer to a lengthy prison sentence approaches, Vicky decides to take desperate action. Risking everything, Vicky manages to break Casey out of jail and takes him on the run, eluding authorities on an eleven-day dash for freedom. For Vicky, even the probable tragedy ahead of them is worth the chance to live life fully once more.",What are some movie titles about freedom?,theme
FOUR DAYS FOR FREEDOM: NAPLES 1943,Documentary with rich archive of films and photos along with footage from the 1962 film Le quattro giornate di Napoli depicting the uprising in Naples against Nazi occupation during World War II.,What are some movie titles about freedom?,theme
My Freedom,"Alicija (33), a Polish-born liberal free-thinker, joins the Awakening movement in occupied Latvia. Her newlywed husband Ilgvars (53), a man with the experience of another generation, calls her to be more careful and cautious. With the support of a close friend, the poet Normunds (40), Alicija soon comes to the forefront of the Singing Revolution. However, alongside the first success, difficulties appear – Alicija receives an anonymous letter accusing Ilgvars of being a former KGB informant. His ambiguous answer leads to her wanting to find out the truth. Realizing that her husband’s actions in the KGB have affected the fate of her close friend, Alicija faces an unenviable choice. Torn by internal contradictions, she continues her work to restore the country’s independence, unable to find courage to resolve the situation. Alicija buries herself in her work and the emotional connection with her husband gradually fades away.",What are some movie titles about freedom?,theme
Rise,"Niloo is an ordinary girl in Iran, she is having a good time with her friend but things get horrible when morality police intervene. It's a tribute to Women, Life, Freedom movement and Mahsa Amini.",What are some movie titles about freedom?,theme
Transformation,"First you cry in the ocean, then you swim like a mermaid, and then you fly freely like a bird. And finally, the sun appears. So feel free to cry and transform.",What are some movie titles about freedom?,theme
Blue,"The sea on whose shore Weronika Szyma has set her film is a dense, pulsating blue. The beach and the family who are staying there, meanwhile, are limited to delicate black and white line drawings. Their minimalism makes the blue stand out all the more enchantingly: Sometimes represented as a horizontal strip that promises freedom but also fuels insecurity. Sometimes sloshing diagonally across the screen, swallowing up the image completely for a brief moment and marking a caesura. And there are quite a number of caesuras, because the seven film minutes span the story of several generations.",What are some movie titles about freedom?,theme
Defend Your Name,"Fabrice grew up fascinated by his father. His only way to get his admiration: follow in his footsteps, become the local boss and stick up for their land at all costs. But now, his wife Laetitia is urging him to move on, to break free from his father's grip. Torn by the conflict between his desire for freedom and the fear of losing his father's love, he will fall into a spiral of violence.",What are some movie titles about freedom?,theme
No Way Through,"No Way Through follows the journey of Jolade Okeniyi, a single mother of a teenage daughter, who is trying to make ends meet. Jolade’s primary source of income comes from working for the local drug cartel in her neighborhood as a driver. Jolade is caught by the authorities and forced to inform on the cartel. Failure to supply the required information will send both her and her daughter to jail, but the risks of getting that information could see them killed by the ruthless cartel. Directed by Chinaza Onuzo, from his own screenplay, No Way Through is a crime drama about the costs of providing for your family no matter what, and the risks you take when you are trying to be free.",What are some movie titles about freedom?,theme
The Prisoner of Wakhan,"The Kyrgyz government is offering humanitarian aid to ethnic Kyrgyz roaming the Wakhan Corridor in northeastern Afghanistan. Many inhabitants of this region leave their highland homes in search of a new life. Among those who get the opportunity to move to Kyrgyzstan with their family is Nurulkhak. Despite government support, education and housing, adapting to a new way of life is not easy. The difference in life experiences creates an abyss between locals and newcomers. Nurulkhak realizes that the urban way of life cannot give him the freedom that once accompanied him in nature.",What are some movie titles about freedom?,theme
Amanita,"For years, Alba, Maydis and Judae have served a terrible Beast without ever thinking of opposing him, until now... Will Amanita give them back their hope for freedom?",What are some movie titles about freedom?,theme
Rencores,"Paulina returns home with her late husband's ashes. Hours pass and she goes about her day with her usual routine but dazed by mixed emotions. While doing her routine, she remembers bitter moments with him and realizes that, finally, she can free herself. Paulina decides to break with the stigmas of the past and turns her life around.",What are some movie titles about freedom?,theme
Metal Belt,"A Peyote Western set in 1860s New Mexico territory, METAL BELT recounts a story about the American Indian slave trade in the southwest and one Navajo woman's fight for freedom and her spiritual journey home.",What are some movie titles about freedom?,theme
Water Baby,When  Rebecca runs away from home she get’s to experience life outside of her narcissistic mother’s patterns of control and can feel the water on her skin again.,What are some movie titles about freedom?,theme
Night in Newark,"Night in Newark focuses on the insights of thirty students in Paris Murray's 7th grade classroom at Northstar Middle School. Their close reading of Elie Wiesel's classic Holocaust memoir explores the themes of freedom, memory and survival.",What are some movie titles about freedom?,theme
Getting Fired From Office,"After ""Getting Ready For Office"" where Mr. *#@% gets late to his office, he gets fired. He finds freedom in this adverse situation, but slowly things take a dark turn which leads him to addiction. We follow him in his journey in his new reality.",What are some movie titles about freedom?,theme
Zindagi Zindabaad,"It is always been said that ""Addiction to Life is more stronger than an Addiction to Drugs"". Zindagi Zindabaad takes us to the deep insights of five individual lives who are chained into the misery of addiction and how these very individuals break free from these chains to live a clean and more realistic colorful lives.",What are some movie titles about freedom?,theme
Paradise Is Burning,"In a working-class area of Sweden, sisters Laura (16), Mira (12) and Steffi (7), get by on their own, left to their own devices by an absent mother. With summer on the way and no parents around, life is wild and carefree, vivacious and anarchic. But when social services call a meeting, Laura has to find someone to impersonate their mom, or the girls will be taken into foster care and separated. Laura keeps the threat a secret, so as not to worry her younger sisters. But as the moment of truth draws closer, new tensions arise, forcing the three sisters to negotiate the fine line between the euphoria of total freedom and the harsh realities of growing up.",What are some movie titles about freedom?,theme
"Ado Japan Tour 2023 ""MARS""","Ado's first-ever performance at Nippon Budokan, held on August 30th 2023, as part of her nationwide tour ""Mars"".  Set list:  1. Odo (Bon-Odo Remix)  2. I’m invincible  3. Freedom  4. Ashura-chan  5. Fleeting Lullaby  6. Kazarijanainoyo Namidawa  7. Unravel  8. Villain  9. Buriki No Dance  10. Readymade  11. missing  12. Yoru No Pierrot  13. Fireworks  14. Himawari  15. Rebellion  16. I’m a Controversy  17. Tot Musica  18. Usseewa  19. DIGNITY  20. Ibara  - Encore -  21. Backlight  22. Show  23. New Genesis",What are some movie titles about freedom?,theme
Bloc Party: So Here We Are,"The film sensitively depicts the modern teenage experience – from that feeling of freedom felt up and down the country as the final school bell rings, to the multitude of ways young people are using technology during this daily window of time, including the challenges faced.",What are some movie titles about freedom?,theme
Fille Fleur,"Lost in the depths of a wood, a baby bird who wants to learn to fly is entrusted by strange flowers with the story of a woman also aspiring to be free.",What are some movie titles about freedom?,theme
Breath,"Arif has to take care of his father, who is bedridden and has diabetes. The change of his lover's ideas about life, forces Arif to make a choice between the life of his father, who had left him, and his journey to freedom.",What are some movie titles about freedom?,theme
Feet Fear Freedom,"Podiatrist Edi passionately takes care of his patients' hurting feet. A courageous cut, a well-aimed stitch, and the previously hidden foot stories come to the surface.",What are some movie titles about freedom?,theme
Not Born Yesterday,"Kenji Fukuma, who was active as a poet, film director, and critic, passed away in April 2023. This is his seventh feature film as a director. The film depicts the interaction between a 77-year-old former sailor who lost his wife and a 2nd-year middle school girl who longs for freedom from her family and school.",What are some movie titles about freedom?,theme
Psychedelic Revolution: The Secret History of the LSD Trade,Covert chemists and fearless visionaries risk their freedom to bring LSD to the masses during the war on drugs.,What are some movie titles about freedom?,theme
Gendelyk,"The eternal desire of a man to love a real and unique Woman paints different images in the imagination of screenwriter Ivan Gerasimov. From time to time he meets with the women of his dreams - a romantic young lady, a relaxed prostitute, a mysterious lady with a veil and - his wife - Ivan ceases to understand which of these women is reality, and which is only a figment of his imagination. In search of answers, he finds himself in the mystical station cafe Gendelyk. Thanks to the ""accidental"" meeting with Bartender and Sputnik, various emotional memories from life emerge in his memory: first love, funny oddities, moments of incredible happiness and unbearable suffering. These memories help Ivan understand himself and become free.",What are some movie titles about freedom?,theme
Free Beats: The Musical Journey of CHEN Ming Chang,"CHEN Ming-chang, exposed to Western music, from The Beatles to Bob Dylan, often taught himself to play and sing with a guitar when he was young. In the closed social milieu of martial law in Taiwan, he became immersed in music and yearned for freedom, arousing his desire to become a musician. Later, he decided to set out on a journey to learn more about the music that has been passed down through generations. Traveling around Taiwan, he learns traditional opera music from prestigious musicians and integrates it into his artistic creations, composing music and stories that belong to Taiwan…",What are some movie titles about freedom?,theme
Girl,A young mother is forced to face the truth of her past life as her daughter approaches adolescence and strives for new freedom.,What are some movie titles about freedom?,theme
Code Break,"Cheyenne Porter loves to surf and she surfs pretty much everyday. She's been surfing since she was ten and does so at a professional level, but that's not her thing. She's a soul surfer. A bit of a loner. With reason. She's also a criminal. She is one of the best hackers in the world and can easily surf into any account she wants. Steal surf, surf steal. Her dad, Bull, a criminal, sent to prison, was her unknowing mentor. He's also the reason her mom got killed. The FBI has been trying to take Cheyenne down for years without success so they decide to release and employ Bull to get to her. If he is successful then he's a free man. But she's too damn smart and nimble to take a wave on the head and she fully hates her dad. Man plans and Cheyenne laughs. When Cheyenne and Bull reunite she is given the opportunity to free herself from her dark past. And she gladly paddles into that gnarly wave.",What are some movie titles about freedom?,theme
Feather Family,"A voice-to-text soliloquy. A child tastes loneliness, freedom, power and care via an animal simulator game. Roles are rehearsed and reversed.",What are some movie titles about freedom?,theme
"Our Land, Our Freedom","Wanjugu Kimathi is the daughter of Dedan Kimathi, legendary leader of the Kenyan Land and Freedom Army, or Mau Mau. This resistance group fought the British colonial regime from 1952 to 1960 to stop it from confiscating land, a conflict known as the Mau Mau Rebellion. In 1957, the British authorities hanged Dedan for possession of firearms, and then dumped his body at an unknown location.",What are some movie titles about freedom?,theme
Nyanga,"During colonial times, Nyanga was kidnapped from the coasts of Africa, brought to Mexico and enslaved. Even though he was forced to work at another man’s estate, he never stopped dreaming of freedom. Based on historical events and using shadow play techniques, “Nyanga” is an homage to the many resistances against the shackles of colonialism.",What are some movie titles about freedom?,theme
Boots On The Ground,"Ukrainians are unbreakable. They have an incredible spirit and unquenchable perseverance. We especially see their qualities during sports competitions, which unite all Ukrainians and help them endure these challenging times emotionally.  Ukrainians continue to play football during the war. They continue to demonstrate their skills, inspiration and courage on football fields. Their achievements are proof that the Ukrainian spirit cannot be broken.  This is the story of Artem and all Ukrainians fighting for their freedom and honour.",What are some movie titles about freedom?,theme
Flowing - My Dream of More Freedom,"The river itself speaks to us about its dream of flowing wilder and freer again, thereby providing a home (again) to a diversity of species.",What are some movie titles about freedom?,theme
El Grito De Emma,"Emma and Leo are two siblings who live alone, she just wants to be free and plans to go out to a party secretly, but when Leo finds out, he will take his overprotection to unimaginable levels.",What are some movie titles about freedom?,theme
The Last Thread,"Hayat, as a theater actress, dreams of practicing her work with creativity, but she finds herself facing a challenge to break free from the constraints she imposed on herself in a moment of weakness in the face of her fears of societal beliefs and public opinions",What are some movie titles about freedom?,theme
Ukrainian Identity,Deep dive into the roots of Ukrainian identity and the undoubtful will for freedom. Abstract animation about the personal choice on the way to national identity.,What are some movie titles about freedom?,theme
Ex You,"Through the diverse life stories of three transgender individuals, the film poses the question of freedom, understanding, and acceptance in countries torn between traditional principles and aspirations toward the West. Helena is an early retired major, the first military person in Serbia to do gender transition. Kamila is from Bosnia and Herzegovina, still hoping for transition in Serbia after years of trying. Vuk was baptized in Montenegro as the first transgender person who did not complete the transition at that time. His gender transition unexpectedly saved his life.",What are some movie titles about freedom?,theme
The Strike,"A generation of California men endure decades of solitary confinement and, against all odds, launch a protest to regain their freedom.",What are some movie titles about freedom?,theme
Here and Nowhere,A young girl is trapped inside her home by her father and seeks freedom once a new neighbor moves in.,What are some movie titles about freedom?,theme
Please Look Up,Documentary film by Narra Berlin studio dedicated to the events of 2020 in Belarus. This is a poignant story about how a person has the opportunity to choose — even in the darkest of times.,What are some movie titles about freedom?,theme
Stamp Our Story,"Every stamp has a story. The resilience and determination of Japanese American World War II soldiers, who were asked to fight for their country despite having their freedom unjustly taken away, embody the best of the American spirit. While remembering their achievements and struggles, this short documentary tells the extraordinary story of how, after 15 years, a grassroots movement led by three elderly Nisei (2nd generation) women overcame all odds to successfully campaign for a Go For Broke stamp.",What are some movie titles about freedom?,theme
Metal Belt,"A Peyote Western set in 1860s New Mexico territory, METAL BELT recounts a story about the American Indian slave trade in the southwest and one Navajo woman's fight for freedom and her spiritual journey home.",What are some movie titles about freedom?,theme_group
